Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
16000_KOUPH_FT_1242__S1_1x1_d,16000,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S1,FT,d,
16001_KOUPH_FT_1242__S1_1x1_l,16001,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S1,FT,l,
16002_KOUPH_FT_1242__S2_1x1_d,16002,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S2,FT,d,
16003_KOUPH_FT_1242__S2_1x1_l,16003,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S2,FT,l,
16004_KOUPH_FT_1242__S3_1x1_d,16004,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S3,FT,d,
16005_KOUPH_FT_1242__S3_1x1_l,16005,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S3,FT,l,
16006_KOUPH_FT_1242__S4_1x1_d,16006,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S4,FT,d,
16007_KOUPH_FT_1242__S4_1x1_l,16007,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S4,FT,l,
16008_KOUPH_FT_1242__S5_1x1_d,16008,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S5,FT,d,
16009_KOUPH_FT_1242__S5_1x1_l,16009,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S5,FT,l,
16010_KOUPH_FT_1242__S6_1x1_d,16010,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S6,FT,d,
16011_KOUPH_FT_1242__S6_1x1_l,16011,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S6,FT,l,
16012_KOUPH_FT_1242__S7_1x1_d,16012,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S7,FT,d,
16013_KOUPH_FT_1242__S7_1x1_l,16013,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S7,FT,l,
16014_KOUPH_FT_1242__S8_1x1_d,16014,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S8,FT,d,
16015_KOUPH_FT_1242__S8_1x1_l,16015,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S8,FT,l,
16016_KOUPH_FT_1242__S9_1x1_d,16016,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S9,FT,d,
16017_KOUPH_FT_1242__S9_1x1_l,16017,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S9,FT,l,
16018_KOUPH_FT_1242__S10_1x1_d,16018,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S10,FT,d,
16019_KOUPH_FT_1242__S10_1x1_l,16019,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S10,FT,l,
16020_KOUPH_FT_1242__S11_1x1_d,16020,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S11,FT,d,
16021_KOUPH_FT_1242__S11_1x1_l,16021,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S11,FT,l,
16022_KOUPH_FT_1242__S12_1x1_d,16022,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S12,FT,d,
16023_KOUPH_FT_1242__S12_1x1_l,16023,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S12,FT,l,
16024_KOUPH_FT_1242__S13_1x1_d,16024,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S13,FT,d,
16025_KOUPH_FT_1242__S13_1x1_l,16025,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S13,FT,l,
16026_KOUPH_FT_1242__S14_1x1_d,16026,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S14,FT,d,
16027_KOUPH_FT_1242__S14_1x1_l,16027,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S14,FT,l,
16028_KOUPH_FT_1242__S15_1x1_d,16028,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S15,FT,d,
16029_KOUPH_FT_1242__S15_1x1_l,16029,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S15,FT,l,
16030_KOUPH_KOUPH_1242__S16_1x1_d,16030,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S16,KOUPH,d,
16031_KOUPH_KOUPH_1242__S16_1x1_l,16031,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S16,KOUPH,l,
16032_KOUPH_KOUPH_1242__S17_1x1_d,16032,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S17,KOUPH,d,
16033_KOUPH_KOUPH_1242__S17_1x1_l,16033,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S17,KOUPH,l,
16034_KOUPH_KOUPH_1242__S18_1x1_d,16034,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S18,KOUPH,d,
16035_KOUPH_KOUPH_1242__S18_1x1_l,16035,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S18,KOUPH,l,
16036_KOUPH_KOUPH_1242__S19_1x1_d,16036,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S19,KOUPH,d,
16037_KOUPH_KOUPH_1242__S19_1x1_l,16037,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S19,KOUPH,l,
16038_KOUPH_KOUPH_1242__S20_1x1_d,16038,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S20,KOUPH,d,
16039_KOUPH_KOUPH_1242__S20_1x1_l,16039,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S20,KOUPH,l,
16040_KOUPH_KOUPH_1242__S21_1x1_d,16040,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S21,KOUPH,d,
16041_KOUPH_KOUPH_1242__S21_1x1_l,16041,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S21,KOUPH,l,
16042_KOUPH_KOUPH_1242__S22_1x1_d,16042,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S22,KOUPH,d,
16043_KOUPH_KOUPH_1242__S22_1x1_l,16043,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S22,KOUPH,l,
16044_KOUPH_KOUPH_1242__S23_1x1_d,16044,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S23,KOUPH,d,
16045_KOUPH_KOUPH_1242__S23_1x1_l,16045,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S23,KOUPH,l,
16046_KOUPH_KOUPH_1242__S24_1x1_d,16046,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S24,KOUPH,d,
16047_KOUPH_KOUPH_1242__S24_1x1_l,16047,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S24,KOUPH,l,
16048_KOUPH_KOUPH_1242__S25_1x1_d,16048,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S25,KOUPH,d,
16049_KOUPH_KOUPH_1242__S25_1x1_l,16049,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S25,KOUPH,l,
16050_KOUPH_KOUPH_1242__S26_1x1_d,16050,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S26,KOUPH,d,
16051_KOUPH_KOUPH_1242__S26_1x1_l,16051,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S26,KOUPH,l,
16052_KOUPH_FT_1242__S27_1x1_d,16052,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S27,FT,d,
16053_KOUPH_FT_1242__S27_1x1_l,16053,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S27,FT,l,
16054_KOUPH_FT_1242__S28_1x1_d,16054,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S28,FT,d,
16055_KOUPH_FT_1242__S28_1x1_l,16055,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S28,FT,l,
16056_KOUPH_FT_1242__S29_1x1_d,16056,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S29,FT,d,
16057_KOUPH_FT_1242__S29_1x1_l,16057,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S29,FT,l,
16058_KOUPH_FT_1242__S30_1x1_d,16058,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S30,FT,d,
16059_KOUPH_FT_1242__S30_1x1_l,16059,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S30,FT,l,
16062_KOUPH_FT_1242__S32_1x1_d,16062,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S32,FT,d,
16063_KOUPH_FT_1242__S32_1x1_l,16063,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S32,FT,l,
16068_KOUPH_FT_1242__S35_1x1_d,16068,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S35,FT,d,
16069_KOUPH_FT_1242__S35_1x1_l,16069,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S35,FT,l,
16114_KE03_FTW Gr_1190__S1_1x1_d,16114,Nikon,1x,1,Kouphovouno,KE03,1190,,,S1,FTW Gr,d,
16115_KE03_FTW Gr_1190__S1_1x1_l,16115,Nikon,1x,1,Kouphovouno,KE03,1190,,,S1,FTW Gr,l,
16116_KE03_FTW Gr_1190__S2_1x1_d,16116,Nikon,1x,1,Kouphovouno,KE03,1190,,,S2,FTW Gr,d,
16117_KE03_FTW Gr_1190__S2_1x1_l,16117,Nikon,1x,1,Kouphovouno,KE03,1190,,,S2,FTW Gr,l,
16118_KE03_FTW Gr_1190__S3_1x1_d,16118,Nikon,1x,1,Kouphovouno,KE03,1190,,,S3,FTW Gr,d,
16119_KE03_FTW Gr_1190__S3_1x1_l,16119,Nikon,1x,1,Kouphovouno,KE03,1190,,,S3,FTW Gr,l,
16120_KE03_FTW Gr_1190__S4_1x1_d,16120,Nikon,1x,1,Kouphovouno,KE03,1190,,,S4,FTW Gr,d,
16121_KE03_FTW Gr_1190__S4_1x1_l,16121,Nikon,1x,1,Kouphovouno,KE03,1190,,,S4,FTW Gr,l,
16122_KE03_FTW Gr_1190__S5_1x1_d,16122,Nikon,1x,1,Kouphovouno,KE03,1190,,,S5,FTW Gr,d,
16123_KE03_FTW Gr_1190__S5_1x1_l,16123,Nikon,1x,1,Kouphovouno,KE03,1190,,,S5,FTW Gr,l,
16124_KE03_FTW Gr_1190__S6_1x1_d,16124,Nikon,1x,1,Kouphovouno,KE03,1190,,,S6,FTW Gr,d,
16125_KE03_FTW Gr_1190__S6_1x1_l,16125,Nikon,1x,1,Kouphovouno,KE03,1190,,,S6,FTW Gr,l,
16126_KE03_FTW Gr_1190__S7_1x1_d,16126,Nikon,1x,1,Kouphovouno,KE03,1190,,,S7,FTW Gr,d,
16127_KE03_FTW Gr_1190__S7_1x1_l,16127,Nikon,1x,1,Kouphovouno,KE03,1190,,,S7,FTW Gr,l,
16128_KE03_FTW Gr_1190__S8_1x1_d,16128,Nikon,1x,1,Kouphovouno,KE03,1190,,,S8,FTW Gr,d,
16129_KE03_FTW Gr_1190__S8_1x1_l,16129,Nikon,1x,1,Kouphovouno,KE03,1190,,,S8,FTW Gr,l,
16130_KE03_FTW Gr_1190__S9_1x1_d,16130,Nikon,1x,1,Kouphovouno,KE03,1190,,,S9,FTW Gr,d,
16131_KE03_FTW Gr_1190__S9_1x1_l,16131,Nikon,1x,1,Kouphovouno,KE03,1190,,,S9,FTW Gr,l,
16132_KE03_FTW Gr_1190__S10_1x1_d,16132,Nikon,1x,1,Kouphovouno,KE03,1190,,,S10,FTW Gr,d,
16133_KE03_FTW Gr_1190__S10_1x1_l,16133,Nikon,1x,1,Kouphovouno,KE03,1190,,,S10,FTW Gr,l,
16134_KE03_FTW Gr_1190__S11_1x1_d,16134,Nikon,1x,1,Kouphovouno,KE03,1190,,,S11,FTW Gr,d,
16135_KE03_FTW Gr_1190__S11_1x1_l,16135,Nikon,1x,1,Kouphovouno,KE03,1190,,,S11,FTW Gr,l,
16136_KE03_FTW Gr_1190__S12_1x1_d,16136,Nikon,1x,1,Kouphovouno,KE03,1190,,,S12,FTW Gr,d,
16137_KE03_FTW Gr_1190__S12_1x1_l,16137,Nikon,1x,1,Kouphovouno,KE03,1190,,,S12,FTW Gr,l,
16138_KE03_FTW Gr_1190__S13_1x1_d,16138,Nikon,1x,1,Kouphovouno,KE03,1190,,,S13,FTW Gr,d,
16139_KE03_FTW Gr_1190__S13_1x1_l,16139,Nikon,1x,1,Kouphovouno,KE03,1190,,,S13,FTW Gr,l,
16140_KE03_FTW Gr_1190__S14_1x1_d,16140,Nikon,1x,1,Kouphovouno,KE03,1190,,,S14,FTW Gr,d,
16141_KE03_FTW Gr_1190__S14_1x1_l,16141,Nikon,1x,1,Kouphovouno,KE03,1190,,,S14,FTW Gr,l,
16142_KE03_FTW Gr_1190__S15_1x1_d,16142,Nikon,1x,1,Kouphovouno,KE03,1190,,,S15,FTW Gr,d,
16143_KE03_FTW Gr_1190__S15_1x1_l,16143,Nikon,1x,1,Kouphovouno,KE03,1190,,,S15,FTW Gr,l,
16144_KE03_FTW Gr_1190__S16_1x1_d,16144,Nikon,1x,1,Kouphovouno,KE03,1190,,,S16,FTW Gr,d,
16145_KE03_FTW Gr_1190__S16_1x1_l,16145,Nikon,1x,1,Kouphovouno,KE03,1190,,,S16,FTW Gr,l,
16146_KE03_FTW Gr_1190__S17_1x1_d,16146,Nikon,1x,1,Kouphovouno,KE03,1190,,,S17,FTW Gr,d,
16147_KE03_FTW Gr_1190__S17_1x1_l,16147,Nikon,1x,1,Kouphovouno,KE03,1190,,,S17,FTW Gr,l,
16148_KE03_FTW Gr_1190__S18_1x1_d,16148,Nikon,1x,1,Kouphovouno,KE03,1190,,,S18,FTW Gr,d,
16149_KE03_FTW Gr_1190__S18_1x1_l,16149,Nikon,1x,1,Kouphovouno,KE03,1190,,,S18,FTW Gr,l,
16150_KE03_FTW Gr_1190__S19_1x1_d,16150,Nikon,1x,1,Kouphovouno,KE03,1190,,,S19,FTW Gr,d,
16151_KE03_FTW Gr_1190__S19_1x1_l,16151,Nikon,1x,1,Kouphovouno,KE03,1190,,,S19,FTW Gr,l,
16152_KE03_FTW Gr_1190__S20_1x1_d,16152,Nikon,1x,1,Kouphovouno,KE03,1190,,,S20,FTW Gr,d,
16153_KE03_FTW Gr_1190__S20_1x1_l,16153,Nikon,1x,1,Kouphovouno,KE03,1190,,,S20,FTW Gr,l,
16154_KE03_FTW Gr_1190__S21_1x1_d,16154,Nikon,1x,1,Kouphovouno,KE03,1190,,,S21,FTW Gr,d,
16155_KE03_FTW Gr_1190__S21_1x1_l,16155,Nikon,1x,1,Kouphovouno,KE03,1190,,,S21,FTW Gr,l,
16160_KE03_FTW_1240__S1_1x1_d,16160,Nikon,1x,1,Kouphovouno,KE03,1240,,,S1,FTW,d,
16161_KE03_FTW_1240__S1_1x1_l,16161,Nikon,1x,1,Kouphovouno,KE03,1240,,,S1,FTW,l,
16162_KE03_FTW_1240__S2_1x1_d,16162,Nikon,1x,1,Kouphovouno,KE03,1240,,,S2,FTW,d,
16163_KE03_FTW_1240__S2_1x1_l,16163,Nikon,1x,1,Kouphovouno,KE03,1240,,,S2,FTW,l,
16164_KE03_FTW_1240__S3_1x1_d,16164,Nikon,1x,1,Kouphovouno,KE03,1240,,,S3,FTW,d,
16165_KE03_FTW_1240__S3_1x1_l,16165,Nikon,1x,1,Kouphovouno,KE03,1240,,,S3,FTW,l,
16166_KE03_FTW_1240__S4_1x1_d,16166,Nikon,1x,1,Kouphovouno,KE03,1240,,,S4,FTW,d,
16167_KE03_FTW_1240__S4_1x1_l,16167,Nikon,1x,1,Kouphovouno,KE03,1240,,,S4,FTW,l,
16168_KE03_FTW_1240__S5_1x1_d,16168,Nikon,1x,1,Kouphovouno,KE03,1240,,,S5,FTW,d,
16169_KE03_FTW_1240__S5_1x1_l,16169,Nikon,1x,1,Kouphovouno,KE03,1240,,,S5,FTW,l,
16170_KE03_FTW_1240__S6_1x1_d,16170,Nikon,1x,1,Kouphovouno,KE03,1240,,,S6,FTW,d,
16171_KE03_FTW_1240__S6_1x1_l,16171,Nikon,1x,1,Kouphovouno,KE03,1240,,,S6,FTW,l,
16172_KE03_FTW_1240__S7_1x1_d,16172,Nikon,1x,1,Kouphovouno,KE03,1240,,,S7,FTW,d,
16173_KE03_FTW_1240__S7_1x1_l,16173,Nikon,1x,1,Kouphovouno,KE03,1240,,,S7,FTW,l,
16174_KE03_FTW_1240__S8_1x1_d,16174,Nikon,1x,1,Kouphovouno,KE03,1240,,,S8,FTW,d,
16175_KE03_FTW_1240__S8_1x1_l,16175,Nikon,1x,1,Kouphovouno,KE03,1240,,,S8,FTW,l,
16176_KE03_FTW_1240__S9_1x1_d,16176,Nikon,1x,1,Kouphovouno,KE03,1240,,,S9,FTW,d,
16177_KE03_FTW_1240__S9_1x1_l,16177,Nikon,1x,1,Kouphovouno,KE03,1240,,,S9,FTW,l,
16178_KE03_FTW_1240__S10_1x1_d,16178,Nikon,1x,1,Kouphovouno,KE03,1240,,,S10,FTW,d,
16179_KE03_FTW_1240__S10_1x1_l,16179,Nikon,1x,1,Kouphovouno,KE03,1240,,,S10,FTW,l,
16180_KE03_FTW_1240__S11_1x1_d,16180,Nikon,1x,1,Kouphovouno,KE03,1240,,,S11,FTW,d,
16181_KE03_FTW_1240__S11_1x1_l,16181,Nikon,1x,1,Kouphovouno,KE03,1240,,,S11,FTW,l,
16182_KE03_FTW_1240__S12_1x1_d,16182,Nikon,1x,1,Kouphovouno,KE03,1240,,,S12,FTW,d,
16183_KE03_FTW_1240__S12_1x1_l,16183,Nikon,1x,1,Kouphovouno,KE03,1240,,,S12,FTW,l,
16184_KE03_FTW_1240__S13_1x1_d,16184,Nikon,1x,1,Kouphovouno,KE03,1240,,,S13,FTW,d,
16185_KE03_FTW_1240__S13_1x1_l,16185,Nikon,1x,1,Kouphovouno,KE03,1240,,,S13,FTW,l,
16186_KE03__1010__S1_1x1_d,16186,Nikon,1x,1,Kouphovouno,KE03,1010,,,S1,,d,
16187_KE03__1010__S1_1x1_l,16187,Nikon,1x,1,Kouphovouno,KE03,1010,,,S1,,l,
16188_KE03__1010__S2_1x1_d,16188,Nikon,1x,1,Kouphovouno,KE03,1010,,,S2,,d,
16189_KE03__1010__S2_1x1_l,16189,Nikon,1x,1,Kouphovouno,KE03,1010,,,S2,,l,
16190_KE03__1010__S3_1x1_d,16190,Nikon,1x,1,Kouphovouno,KE03,1010,,,S3,,d,
16191_KE03__1010__S3_1x1_l,16191,Nikon,1x,1,Kouphovouno,KE03,1010,,,S3,,l,
16192_KE03__1010__S4_1x1_d,16192,Nikon,1x,1,Kouphovouno,KE03,1010,,,S4,,d,
16193_KE03__1010__S4_1x1_l,16193,Nikon,1x,1,Kouphovouno,KE03,1010,,,S4,,l,
16194_KE03__1010__S5_1x1_d,16194,Nikon,1x,1,Kouphovouno,KE03,1010,,,S5,,d,
16195_KE03__1010__S5_1x1_l,16195,Nikon,1x,1,Kouphovouno,KE03,1010,,,S5,,l,
16196_KE03__1010__S6_1x1_d,16196,Nikon,1x,1,Kouphovouno,KE03,1010,,,S6,,d,
16197_KE03__1010__S6_1x1_l,16197,Nikon,1x,1,Kouphovouno,KE03,1010,,,S6,,l,
16198_KE03__1010__S7_1x1_d,16198,Nikon,1x,1,Kouphovouno,KE03,1010,,,S7,,d,
16199_KE03__1010__S7_1x1_l,16199,Nikon,1x,1,Kouphovouno,KE03,1010,,,S7,,l,
16200_KE03__1010.2__S8_1x1_d,16200,Nikon,1x,1,Kouphovouno,KE03,1010.2,,,S8,,d,
16201_KE03__1010.2__S8_1x1_l,16201,Nikon,1x,1,Kouphovouno,KE03,1010.2,,,S8,,l,
16202_KE03__1010.2__S9_1x1_,16202,Nikon,1x,1,Kouphovouno,KE03,1010.2,,,S9,,d,
16203_KE03__1010.2__S9_1x1_,16203,Nikon,1x,1,Kouphovouno,KE03,1010.2,,,S9,,l,
16204_KE03_KOUPH_1223__S1_1x1_d,16204,Nikon,1x,1,Kouphovouno,KE03,1223,,,S1,KOUPH,d,
16205_KE03_KOUPH_1223__S1_1x1_l,16205,Nikon,1x,1,Kouphovouno,KE03,1223,,,S1,KOUPH,l,
16206_KE03_KOUPH_1223__S2_1x1_d,16206,Nikon,1x,1,Kouphovouno,KE03,1223,,,S2,KOUPH,d,
16207_KE03_KOUPH_1223__S2_1x1_l,16207,Nikon,1x,1,Kouphovouno,KE03,1223,,,S2,KOUPH,l,
16208_KE03__1223__S3_1x1_d,16208,Nikon,1x,1,Kouphovouno,KE03,1223,,,S3,,d,
16209_KE03__1223__S3_1x1_l,16209,Nikon,1x,1,Kouphovouno,KE03,1223,,,S3,,l,
16210_KE03__1223__S4_1x1_d,16210,Nikon,1x,1,Kouphovouno,KE03,1223,,,S4,,d,
16211_KE03__1223__S4_1x1_l,16211,Nikon,1x,1,Kouphovouno,KE03,1223,,,S4,,l,
16212_KE03__1223__S5_1x1_d,16212,Nikon,1x,1,Kouphovouno,KE03,1223,,,S5,,d,
16213_KE03__1223__S5_1x1_l,16213,Nikon,1x,1,Kouphovouno,KE03,1223,,,S5,,l,
